iter	Logloss
0	0.6022605691
1	0.532529548
2	0.4816222085
3	0.4448295233
4	0.4130082422
5	0.3856982733
6	0.371691907
7	0.3553747863
8	0.3431970257
9	0.3347533435
10	0.326680637
11	0.3209530132
12	0.3160513975
13	0.3132545889
14	0.3092951469
15	0.3063424743
16	0.3032685323
17	0.3003362969
18	0.2979934999
19	0.2962579155
20	0.2944331708
21	0.2923111663
22	0.291279677
23	0.2899851894
24	0.2893592926
25	0.2881571606
26	0.2868868603
27	0.2862773621
28	0.2853229171
29	0.284431803
30	0.2835276633
31	0.2830131169
32	0.2819419959
33	0.2816109625
34	0.2815558864
35	0.2811671141
36	0.2800963481
37	0.2792148423
38	0.2788172827
39	0.2787493585
40	0.2783166939
41	0.2781545058
42	0.2776899539
43	0.2767117432
44	0.276382951
45	0.2759436072
46	0.2752579966
47	0.2747905378
48	0.2744912364
49	0.273715822
50	0.2728498272
51	0.2723615762
52	0.2717806811
53	0.2716215108
54	0.2709153298
55	0.2702144745
56	0.2692461829
57	0.2686162253
58	0.2680611596
59	0.2675620798
60	0.267027895
61	0.2666821051
62	0.2660822152
63	0.2656485077
64	0.2648780196
65	0.2643259052
66	0.2634987432
67	0.2631547951
68	0.2626122447
69	0.2618311496
70	0.2616032562
71	0.2609060401
72	0.2603638226
73	0.2598987825
74	0.2591629776
75	0.258607335
76	0.2581538782
77	0.2575516583
78	0.2572202699
79	0.2567090742
80	0.2563273362
81	0.255738031
82	0.2550853284
83	0.2545341238
84	0.2541161936
85	0.2535162593
86	0.2530078818
87	0.2525010354
88	0.2519964746
89	0.2514984821
90	0.2513090222
91	0.2508189516
92	0.2502612896
93	0.2498218793
94	0.2492016409
95	0.2485537093
96	0.2483381536
97	0.2479598551
98	0.2476112026
99	0.2473064202
100	0.2467742992
101	0.2461993511
102	0.2456400693
103	0.2454012361
104	0.2449767819
105	0.2445181771
106	0.2441535699
107	0.243696252
108	0.2432961627
109	0.2428200941
110	0.242408954
111	0.2417984572
112	0.2415864077
113	0.2412785408
114	0.2404096613
115	0.2398868158
116	0.2395961241
117	0.239158844
118	0.2385078723
119	0.238013874
120	0.2378178458
121	0.2372868343
122	0.2365830942
123	0.2362389242
124	0.2360740288
125	0.2357983599
126	0.2356050833
127	0.2354804409
128	0.2352148908
129	0.2347514041
130	0.234209941
131	0.2336303329
132	0.2331760995
133	0.2330074983
134	0.232570307
135	0.2319998413
136	0.2315910312
137	0.2315234621
138	0.230960541
139	0.2306102021
140	0.2302844056
141	0.2299606506
142	0.2298301722
143	0.2294663416
144	0.2293050633
145	0.2288760823
146	0.2287531042
147	0.2282866218
148	0.22786898
149	0.2273960846
150	0.2269150011
151	0.226597193
152	0.2262258178
153	0.2260929429
154	0.2258609221
155	0.2257183723
156	0.2253232313
157	0.2248549071
158	0.2247408495
159	0.2243164397
160	0.2238743665
161	0.2234955798
162	0.2232482034
163	0.2229047435
164	0.2223674743
165	0.2220956222
166	0.2217353421
167	0.2214835499
168	0.221173353
169	0.2208558113
170	0.2206835044
171	0.2204584957
172	0.220250862
173	0.2198893392
174	0.2197609689
175	0.2194837689
176	0.219177056
177	0.2190383672
178	0.2186167978
179	0.21807549
180	0.2180598903
181	0.2179501154
182	0.2175927866
183	0.2172865174
184	0.2169914987
185	0.2166292658
186	0.2160770183
187	0.2156792589
188	0.2155623609
189	0.2151747425
190	0.2150491238
191	0.2147825085
192	0.2146815875
193	0.2141818863
194	0.2139019569
195	0.2134844705
196	0.2132921036
197	0.2130928134
198	0.2124834483
199	0.212025376
200	0.2117122945
201	0.2111940867
202	0.2106839783
203	0.210412459
204	0.2099331063
205	0.2094302763
206	0.2091288447
207	0.2087405161
208	0.2081643254
209	0.208023928
210	0.2076113899
211	0.2070258571
212	0.2065652995
213	0.2061064283
214	0.2057734865
215	0.2054731865
216	0.205242941
217	0.2050556557
218	0.2045259312
219	0.2043866211
220	0.204147677
221	0.2036904701
222	0.2032026407
223	0.2028354595
224	0.202479684
225	0.2021349148
226	0.201733605
227	0.2014293552
228	0.2010689197
229	0.2005750546
230	0.2004427788
231	0.2000481039
232	0.1995464057
233	0.1993098581
234	0.1989687725
235	0.1988185005
236	0.1985216622
237	0.1981638674
238	0.1976992489
239	0.197392891
240	0.1970549342
241	0.1966890844
242	0.1963472665
243	0.1959610461
244	0.1958573291
245	0.1954973153
246	0.1952413735
247	0.1951224784
248	0.1948767441
249	0.1945235648
250	0.1942799386
251	0.1938608101
252	0.1937066548
253	0.1932852628
254	0.1930542629
255	0.192489034
256	0.1921568467
257	0.1919483476
258	0.1915919286
259	0.1915046767
260	0.1911933704
261	0.1909587756
262	0.1908359084
263	0.1905579096
264	0.1904317805
265	0.1899455488
266	0.1898171785
267	0.1896731863
268	0.1892726975
269	0.1890527482
270	0.1889620347
271	0.1886908261
272	0.1884881408
273	0.1883015434
274	0.1880118503
275	0.1878413852
276	0.187497082
277	0.1873345388
278	0.1870514584
279	0.1867441463
280	0.186402284
281	0.1861673564
282	0.1860240299
283	0.185707298
284	0.1853298094
285	0.1850066535
286	0.1849291986
287	0.1846608969
288	0.1843999845
289	0.1841768287
290	0.1838885226
291	0.1837312273
292	0.1832861141
293	0.1829734652
294	0.1827226383
295	0.182433966
296	0.1822617922
297	0.1817803314
298	0.1814770801
299	0.1811712769
300	0.1810214376
301	0.1804960957
302	0.1801079225
303	0.1798090427
304	0.1796960613
305	0.1793472646
306	0.1792313319
307	0.1791042597
308	0.1788861522
309	0.1785406286
310	0.1782472297
311	0.1781304982
312	0.1778308972
313	0.1774483714
314	0.1772807355
315	0.1770611524
316	0.1768806129
317	0.1767105583
318	0.1765345234
319	0.176229275
320	0.1760469825
321	0.1756570896
322	0.1754153384
323	0.1752793125
324	0.1751430092
325	0.1748408563
326	0.1745764823
327	0.1742775802
328	0.1741543137
329	0.1739806199
330	0.1738453817
331	0.17344618
332	0.173175748
333	0.1730183196
334	0.1727350506
335	0.1724756693
336	0.1723491408
337	0.1720689451
338	0.1720009987
339	0.1716340838
340	0.1715222451
341	0.1713460771
342	0.1710705192
343	0.1708456659
344	0.1705766985
345	0.1703924976
346	0.1700411047
347	0.169679593
348	0.1694590557
349	0.1693492475
350	0.1689883128
351	0.168714519
352	0.1684195668
353	0.1681790139
354	0.168044852
355	0.1678159046
356	0.1676098464
357	0.1672775814
358	0.1671824076
359	0.1668945674
360	0.1667924703
361	0.1666172121
362	0.1664858905
363	0.1662393685
364	0.1659874764
365	0.165927119
366	0.1657658074
367	0.1655116963
368	0.1652077793
369	0.1649567082
370	0.1648608022
371	0.1645218913
372	0.1643286923
373	0.1640631199
374	0.1639586929
375	0.1638093972
376	0.1636819699
377	0.163515954
378	0.1632237756
379	0.1630931197
380	0.1630355805
381	0.1628835887
382	0.162672105
383	0.16222434
384	0.1619197129
385	0.1617055664
386	0.1614878805
387	0.1612477603
388	0.1610813116
389	0.1608057093
390	0.1606732449
391	0.1604686291
392	0.1603424001
393	0.1601960779
394	0.1598624926
395	0.1596157598
396	0.159346637
397	0.1592599177
398	0.159032568
399	0.1589421651
400	0.1586972297
401	0.1584976954
402	0.1583441281
403	0.1580471123
404	0.1578538023
405	0.1576544567
406	0.1576229688
407	0.1574145584
408	0.1571618342
409	0.1569264849
410	0.1568043944
411	0.1565633312
412	0.1564156776
413	0.1561927437
414	0.156028969
415	0.1559419723
416	0.1557024956
417	0.1554577821
418	0.1553719948
419	0.1552610438
420	0.1550687768
421	0.1546833441
422	0.1545864394
423	0.1543017392
424	0.1541255933
425	0.1540355677
426	0.1538313624
427	0.1536176153
428	0.1534036906
429	0.1532605083
430	0.1530040118
431	0.1528460176
432	0.1526678857
433	0.1525820651
434	0.1523319705
435	0.1521843058
436	0.1519132303
437	0.1516911951
438	0.1513668964
439	0.1511979402
440	0.1511711345
441	0.150842775
442	0.1507588294
443	0.1505841038
444	0.1503351075
445	0.1502672832
446	0.1499865217
447	0.1498894395
448	0.1496262416
449	0.1493793312
450	0.1491494296
451	0.1488885172
452	0.1485920894
453	0.1485306669
454	0.1483601131
455	0.1482640961
456	0.1480176073
457	0.1478582151
458	0.147739786
459	0.1475796837
460	0.1474672016
461	0.147175589
462	0.1469586465
463	0.1465968131
464	0.1464339592
465	0.146243301
466	0.146035512
467	0.145800318
468	0.145606764
469	0.1454348898
470	0.1452891667
471	0.1451062085
472	0.1450027467
473	0.144831161
474	0.1446647899
475	0.1444237378
476	0.1441123094
477	0.143900626
478	0.1437344103
